Report,Reviews
App ID,1055281310
App,Philips Hue
Version,All Versions
Market,iOS
Country,All Countries
Total Reviews,4831
Average Rating,1.8
Search Term,
Start Date,04/28/2016
End Date,03/25/2017
Date Generated,03/27/2017 01:35:07 PDT

Platform,Country,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
iOS,France,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,romtom23,2.8.0,1,Temporisateurs,Pourquoi n'est-il pas possible d'utiliser des temporisateurs (comme avec l'App Hue Gen 1) ? Pourquoi seulement des routines ?!
iOS,United States,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,JustBob4Now,2.8.0,1,Downgrade,"Terrible app. It might add a couple of useful things, but it strips too much functionality from the old app. What's worse, I have scheduled events created in the old app that can't be edited in the new one, and the old app won't run anymore. I'm sure Philips will tell me to default the bridge and set up all 20+ lights again. I regret ever buying into their ecosystem."
iOS,United States,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,damahala,2.8.0,1,Who wrote this app?,"Almost nothing is working. 

- You can't login to your account. 
- You can't add new discovered light to a room which means you can't control it!!"
iOS,Netherlands,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Marcodg,2.8.0,1,Zeer slecht tov voorganger,"Beste Philips

Waarom kunnen jullie na een goed idee (hue), zoals bijna altijd in de geschiedenis, er geen goed gevolg aan geven qua beleving. De oude app zag er misschien niet sexy uit maar werkte erg goed. (Ik gebruikte die maar naar de laatste update dus niet meer. Is dit een kwestie van verplicht naar de huidige app moeten overstappen???)
Dus graag terug naar de vorige app versie qua functies. Deze versie is bedroevend slecht!

Mvg M de Groot"
iOS,Netherlands,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,boellie,2.8.0,1,Support voor de oude app graag,Nieuwe app kan ik geen eigen instelling van sterkte van de lampen bepalen. alleen gedimd of vol aan. Kies ik voor gedimd. Gaat die nog 100 procent aan. Oude app wordt niet meer ge-update en werkt al minder erdoor. Graag oude app weer terug of betere uitleg hoe ik dezelfde instellingen kan doen
iOS,United Kingdom,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,DodoMgc,2.8.0,1,It drains the battery,"It took ages to support the 2nd generation app on the iPad and this is completely unreliable. According to the iPad stats it consumed 41% of my battery in the last seven days despite being on the screen for a few minutes. Plus the widget continuously freezes and you have to delete it and make a new one. Useful features like timers disappeared from the 1st generation. Philips, you can do better than this!"
iOS,United Kingdom,03/21/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Mikeb71,2.8.0,1,Remote access no longer working,"Seems that the remote access feature is broken via the app. If I log into the Hue webpage and try to control my lights it works. Additionally, if I go into Apple's Home app I can happily control my lights while away from home, however, in the Hue app I just get the ""No Hue connection"". 😡"
iOS,Switzerland,03/20/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,MoutonRothschild,2.8.0,1,Nicht mehr brauchbar...,"Das heisst, die teuren Birnen sind nutzlos! Einfach nur ärgerlich!"
iOS,United States,03/20/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,m_diggity,2.8.0,1,What have you done? Zero stars!,"I can't have a scene that controls lights across multiple rooms ? The whole system is unresponsive now. I was happy with what we had. This upgrade has caused a complete mess. Routines is useless. Who goes to bed, wakes up, gets home at exactly the same time everyday? Scenes are so hard to get to now. So bad. Please update soon!"
iOS,United States,03/20/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Colombi9,2.8.0,4,Works for me,Not sure why all the negative reviews for the app. Works just fine for me. There are other good apps too but I use this one everyday. Never any problems. Running IOS 10.2.1
iOS,Italy,03/20/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Trix 7,2.8.0,1,Proprio no,La cosa che più mi irrita è l'impossibilità di usare le scene personalizzate per il geofancing. Io continuo ad usare solo la vecchia app.
iOS,United States,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,OU Matt,2.8.0,1,Lights are great but app is Terrible!!!!!,"Please make this app user friendly, really is not an easy app to setup. 

Lights are great but app is by far the worst app on my iPhone.  Does anyone at Philips now what is going???"
iOS,United States,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Enick2002,2.8.0,1,Can't go back when viewing apps,In the suggested apps it is nearly impossible to close the window with the app displayed to return back to the menu. Consider how many people have hue lights I am shocked how terrible the app is. The way you could color pick all your lights to an image is nearly impossible. It does it by room.
iOS,United States,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,patsfan32,2.8.0,1,Can't share,You can't share your settings with someone else in your house
iOS,Spain,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Psanz72,2.8.0,1,Faltan funcionalidades importantes,"Echo de menos hacer dos cosas importantes:

- Poder poner temporizadores para que la luz se vaya atenuando poco a poco hasta llegar a apagarse sin tener q programar la hora a la que queremos que pase. En la app antigua se podia. 

- Poder regular desde el Apple Watch intensidad, color... no solo escenas prefijadas.

Para el pastón que cuesta todo, la App debería ser cuasi-perfecta, que no es una tira china de 20€."
iOS,Denmark,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,TW-J,2.8.0,1,Utroligt skuffende,Alt er blevet mere besværligt og man kan ikke individuelt slukke en pære. Meget lettere før. Shape up.
iOS,Germany,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Garlenda,2.8.0,2,Für mich unbrauchbar,"Die App mag funktionieren, allerdings ist HUE ohne Zufallskomponente in der Zeitsteuerung für mich unbrauchbar. Eine Abwesenheitssteuerung mit festen Zeiten macht keinen Sinn. Warum Philips dies in der 2. Generation der App nicht hinbekommst, verstehe ich nicht.

Habe vollkommen auf iConnect Hue umgestellt. Viel klarer, mehr Möglichkeiten."
iOS,United States,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Tmckaz,2.8.0,1,HU(e)GH disappointment,"I hung on to the first version for as long as I could and earlier this week it stopped opening on my phone so I was forced to move to the ""upgrade"" - all of the intuitive functionality is gone and the app has reduced the functionality of the lights. Looking into purchasing a third party bridge so I can get my lights to work the way I want them to work!"
iOS,United States,03/19/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,happyrobot,2.8.0,1,Apps seem be an afterthought for Philips,"Philips makes great electronics but any sort of app support doesn't seem to exist. 
Yes, the new interface is worlds better than the old app but the fact that syncing it with my Hue account doesn't download the dozen or so custom scenes I've saved seems ridiculous. Do I have to re-assign dimmers and buttons to these new scenes?

Re-installed almost year after my previous review (above) and holy moly. Are you kidding me? Who is the developer team on this project? Can I please come work there for a year or so and project manage this mess?

Every other Hue app can find my bridge, but this one can't and I have to manually enter the IP address. Strike one.
Creating scenes. Well, it's INSANE that the scenes from the previous app aren't supported here. Insane. But, ok. Let's give this one a try. Create a scene. Let's use a photo like in old app. Wait. You can't set individual lights to specific colors? You can only dim the lights and deal with whatever color the app RANDOMLY assigns to the bulb? 
YOU.  
HAVE. 
TO. 
BE. 
KIDDING ME. 
Strike two. 
Sweet Jesus. Philips. Get. It. Together."
iOS,Denmark,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Kududdeludde,2.8.0,1,Dårlig,"Langsom, uduelig, elendig og upraktisk til alting."
iOS,United States,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,HelmetHair,2.8.0,1,Phillips Hue,"This application is a huge disappointment. No support for sunset/sunrise times and the requirement of a Hue account to use Homekit is abusrd. The fact of the matter is I suggest to users to use Hue Pro on an Android device. This app is a joke. I usually never award just one star but this is one case the application deserves it. We're not talking about an indie developer here, rather a commerical entity who can't be bothered to produce decent software to compliment their hardware."
iOS,United States,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Danielntlions,2.8.0,2,Meh.,"Why would you remove the Timer feature? It makes no sense to do so. Please add it back!

If you're forcing us to move to the new app because you won't support Gen 1, then please add useful features."
iOS,United States,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Hue Fanatic,2.8.0,1,Poorly designed app- big step back,Incredibly poor decision for the product team to have replaced the old app and essentially restrict users from using it. This 2.0 version seems to be written without any understanding of how the typical user would use it.  Setting timers and scenes and creating any real automation just not considered well here.  Investment would have been better focused on making the old app more usable and adding features rather than redesigning UX and calling that innovation.  Highly encourage the product team to reconsider.
iOS,Netherlands,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,MvL1989,2.8.0,1,Thuiskomen,Sinds een tijdje werkt de functie thuiskomen na zonsondergang niet meer. Erg jammer!! Het is fijn als je lampen aan zijn als je thuis komt. En als ik ze zelf aan wil zetten via de app is er geen verbinding😓 Graag oplossen!!
iOS,United Kingdom,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,katolotus,2.8.0,1,Who messed this version up,Moving to this version was a nightmare from the perfectly working previous version. Nothing transfers and new app set up is far from user friendly. Let's hope whoever design and whoever sign off this 'downgrade' doesn't get to go anywhere near the next version. Complete cluster f*ck 🙄
iOS,Switzerland,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,2stern,2.8.0,2,Alte hue app besser,"Das alte Hue app gefällt mir viel besser. Leider wird es nicht mehr weiter entwickelt. Solange das neue nicht besser wird, bleibe ich beim alten."
iOS,United States,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,MrsBA,2.8.0,1,Frustrating!!!,"Bought a couple more Hue bulbs, to switch my bedroom from white to color.  Had to download new app to add them. Ugh!  Now no more real (animated scenes).  Had to purchase rainstorm and now that scene that I paid for has LESS OPTIONS?!?   Put my original two white bulbs. Had to delete and re- DL app to have the old lights recognized.  Now WHERE'S the storm scene I just paid for????
So much trouble using this app.   Makes me feel like a disconnected idiot.  YUCK!  Fix this quick, or bring back the old app. I deleted my old app... going to go see if its still available to me.  Very frustrating!"
iOS,United States,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Alex3775,2.8.0,1,Terrible,This app is terrible. The only good thing about this app is the fact that the released it as a new app instead of an update so you can still use the old one.
iOS,United States,03/18/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Winnj1987,2.8.0,1,Forced updates are obnoxious,Seriously... give an option to decline an update or push it out!!! Now I have to wait 10 minutes to turn my lights off.
iOS,Canada,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Cossno,2.8.0,4,Room for improvements,"Pros:
* Looks nice
* when things are set up then it is good

Cons:
*Not intuitive at first

Suggestions
* have favorite tasks page for operations that we do often"
iOS,Germany,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,KosztiHue,2.8.0,3,"Gut,aber","Die App läuft im Prinzip und bietet viele Möglichkeiten. Allerdings vermisse ich die Zufallsfunktion in den Routinen. Das war ein sinnvolles Feature in der Vorgängerversion und würde auch dem neuen Konzept gut anstehen.
Dann wäre es ein Stern mehr."
iOS,Germany,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Im Card Claudia,2.8.0,2,Brauchbar Sonnenuntergang bitte in den Dimmer integrieren,"Was ich noch vermisse, dass der Sonnenuntergang auf Tastendruck aktiviert werden kann und zwar wenn man im Bett ist. Wer geht schon jeden Tage zur absolut gleichen Zeit ins Bett. 

Es fehlt der Button ""Schlafen gehen jetzt"". 

Warum kann ich diese Routine nicht mit dem Hue Dimmer starten??????????????!??

Dann gibt es 5 Sterne"
iOS,France,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,FDM77,2.8.0,2,Détecteur de mouvement Motion sensor,"Dommage qu'il ne soit pas possible de programmer une extinction automatique sous la minute... 
c'est assez rédhibitoire dans un couloir notamment quand on parle d'économie d'énergie."
iOS,United States,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Lemeod,2.8.0,2,Frustrating,I hope all of the problems I'm having getting this app to function with Amazon Echo is because we are between versions.  When it functions it is great fun.  When it does not function it is very frustrating.
iOS,United States,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,felipeassef,2.8.0,1,Crappy app,"Not even the basic stuff works properly. Every time I open the app it says ""out of home connection"", even though I'm connected to my house's wi-fi! And Philips calls this an upgrade. Unbelievable."
iOS,United States,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Ack5677,2.8.0,1,Trashed a perfectly good app,This update that was forced on all users is the shittiest thing ever. How the hell do I create new scenes now? What's wrong with philips?
iOS,United States,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,rcmoot,2.8.0,1,This is absolutely terrible,"This may literally be the worst update I have ever received for an app. If I had not already invested so much money in the bulbs I would completely abandon the platform. It is non-intuitive and difficult to navigate. To any one considering buying these bulbs, I would reconsider if I were you."
iOS,United States,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,pro48589,2.8.0,1,Made an already terrible app even worse,Wow.  Didn't think it could get worse than the original app but Philips sure has proven me wrong!
iOS,Netherlands,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Xx29122016,2.8.0,2,Geen uitwisseling van scenes,Er is geen uitwisseling van scenes via bridge met iphone en samsung tablet. Moet daarom steeds scenes aanpassen op 1 van de devices. Lastig in het beheer en het gebruik☹️
iOS,Netherlands,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,zomgreview,2.8.0,1,Meh,"Na bijna een jaar wachten hebben we nog steeds geen profielen zoals in de klassieke app, waardoor deze app waardeloos voor me is."
iOS,United Kingdom,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,AdamHoward1,2.8.0,5,Works Well,Not experienced any issues. App appears to work and fiction well. Used with both Hue bulbs and light switches
iOS,United Kingdom,03/17/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,~Ej~,2.8.0,2,Disappointing...ish,"The 1st gen app is much better, the gen 2 app is missing a lot of the original features. 1 I feel the best bit about the 1st gen app needs to be added to this version which is the random setting for lights to randomly come on either side of a specific time. 
(Also being able to switch off a light from widgets. Was better on 1st gen hence why I haven't deleted the app. Philips have gone backwards on improving its app). (Thanks for sorting Philips, that's a step up). :)"
iOS,United States,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Gogoturtle,2.8.0,1,Would be hard to make a worse app.,"Come on Hue.  Bulbs are great, your apps far from it.  They have all really stunk."
iOS,United States,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,jasonchristopher76,2.8.0,1,Throwing my lights out,"The decision to discontinue support for the gen 1 app over the train wreck app that is gen 2 is beyond disappointing. With each ""improvement"" the app has gotten worse And worse. 

Congrats Phillips. I was contemplating replacing my gen 1 bulbs with gen 3. But after this announcement, I will be throwing them away and researching alternatives. 

Look at the rating and reviews for this app. Clearly it has issues and your development team should be fired. 

LISTEN TO YOUR CUSTOMERS"
iOS,United States,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Gekkonaut,2.8.0,1,They don't understand how their customers use the product,"The first app was clumsy but fulfilled most people's use case. Now it's gone. This version only allows you to set scenes per room, which makes zero sense unless you're living in a studio apartment."
iOS,United States,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,TheAsaMan,2.8.0,2,Compare apps,"The previous app, for me, was much much better... now it no longer works after the LAST update.  It will not launch!  So it appears I am stuck with this version.  Unless I erase 7 scenes I have created."
iOS,United States,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Jahabah,2.8.0,1,Forced updates a great inconvenience,"I've been using this app with Hue color bulbs for over a year now. The bulbs themselves and the colors they can produce are wonderful. 
I always forced to update the app whenever a new app is available the after the update is released. This means that when I we are ready to go to bed and dim the lights, I'm forced to wait until the update completes before I'm able to control them. It is a great inconvenience when trying to get to sleep. Meanwhile I lay in bed with the lights on full brightness. This has remained unchanged since app release. As far as I know this is an issue for iOS. I'm not sure if Android users have experienced this. As soon as this is fixed I will upgrade my rating to four stars and write a proper review."
iOS,Netherlands,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,SZeedijk,2.8.0,1,"Slechte app, typisch Philips?","De nieuwe app is veel minder dan de oude Hue app. Ik kan geen lamp meer apart bedienen via een scene. Zo wordt de nieuwe app wel verkocht in de oude versie!!
De icoontjes zijn veel te groot waardoor ik nu moet gaan scrollen waar ik vroeger alles in 1x kon zien en dus direct aan kon klikken. 
En blijf me ergeren aan het feit dat het nog steeds niet mogelijk is een willekeurige foto aan een scene te koppelen. Zonder dus dat dit ""de kleur"" van je scene bepaald. Als ik een andere afbeelding wil zonder de scene te veranderen laat me dat dan doen!
Maar ja. Alles tevergeefs want ik gebruik de Hue's al sinds het begin. En al sinds het begin negeert Philips de gebruikers..."
iOS,Italy,03/16/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,queenemix,2.8.0,1,non funziona!,non mi riconosce più il bridge come si fa?!
iOS,France,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Tuttufolies,2.8.0,2,Impossible d'équiper toute ma maison!,Impossible de gérer plusieurs ponts via l'application !!!!!
iOS,France,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Rhum182,2.8.0,2,C'est une blague?!?!,Impossible de gérer 2 ponts Philips hue via l'application officielle.... vous ne voulez pas vendre?
iOS,France,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Nishnou,2.8.0,3,Routine réveil brutale,"Bonjour, je souhaiterais mettre en lumière un beug ou un défaut d'utilisation que je rencontre lors de la routine réveil. La lumière s'allume comme convenu 10,20,30min avant l'heure voulu mais lors de son premier allumage elle est très forte avant de diminuer pour s'allumer progressivement.. est ce un mauvais réglage de la part ou un beug? Merci d'avance"
iOS,United States,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Hue enthusiast no more,2.8.0,1,Latest update,The latest update has screwed up everything. No rooms work no scenes work bulbs are going on and off randomly.  There was no option not to update it comes up and forces you to update.  This was not tested and has made a mess of all the setups I have done.  I have ten rooms and 54 lights.  It is really unprofessional to force this on people and break people's setups and features.
iOS,United States,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Zypher23,2.8.0,1,Terrible - routines don't work,"This second gen app is such a disappointment. I finally received notice that the first app no longer was going to be supported. So I switched over all my alarms to the new ""routines"". Well, low and behold, I just woke up and my lights were NOT on despite my wake up being set to turn on >30min ago. I checked my network and it's working, I checked Fing and it sees my Hue Bridge. I checked my app and I was able to manually turn on my lights. So what gives? Having the light turn on is critical to my routine. On top of all this, it doesn't even remember my last theme setting on my lights and keeps reverting to ""relax"" mode if I turn one on and off. I may have to go back to the unsupported app. Why make a new app and break every feature that made the old one great? And WHY is there even a second app? Why couldn't the first one just be updated or at least give the second a working import setting for the alarms. This is such BS! Make this thing work!!!"
iOS,United States,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,cryptographrix,2.8.0,1,Forced updates are actually the worst,"Hue intentionally crashed their original app to try to get users over to this one.

This app is actually horrible, and since it's now obvious that we can't trust the Hue iOS developers not to abandon their user base, our lighting systems are now at the behest of their shifting industry.

Wasn't the promise of LED light to have lights that lasted longer and were better at being controlled?

This forced update just broke that promise for Hue."
iOS,United Kingdom,03/15/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Yas9in,2.8.0,2,Good features but very unreliable,"I'm afraid this app is just not reliable enough. After a day or two it will lose the bridge and there is literally no way of reconnecting. I was skeptical of other reviews describing this problem but I'm afraid it's true. If you're only just looking to buy the light bulbs, maybe don't. There is also no sort of customer care."
iOS,United States,03/14/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,musikmusikmusik,2.8.0,1,Can't Sign In,Can't sign in to use the location services. Fails every time even though it says I entered the info in correctly.
iOS,United States,03/14/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Jim in PA,2.8.0,1,Fails simple tasks,"The new app does not have a way to simply set lights to turn on at a certain time (w/o half an hour fade in) and turn off at a set time (w/o 15 minute fade out). You can set one ""routine"" to turn the lights on, and a second routine to turn them off. But if you turn the lights off before the second routine's time, that routine will turn your lights on at its set time. It's effing ridiculous that they couldn't sort this out, especially since the earlier app worked well, and given all the negative reviews they've gotten."
iOS,United States,03/14/2017,1055281310,Philips Hue,979064009,Philips Lighting BV,Mark2358,2.8.0,1,Gen 1 app is way better,"I just spent $1,000 on hue lighting and was so disappointed to find how hard it was to group all lights in my apartment and create scenes. It only allows me to ""group"" lights by room, and you can only control 4 rooms at a time. 
I downloaded the Gen 1 app. So simple. So many more features. The Gen 1 app does everything I expected these lights to do, and this new app does nothing but complicate the few simple tasks it can do. 
Go back to the Gen 1 design please."
